FIPS_Code,Stabr,Area_name,Rural-urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_ 2013,POVALL_2021,PCTPOVALL_2021,POV017_2021,PCTPOV017_2021,POV517_2021,PCTPOV517_2021,MEDHHINC_2021
01001,AL,Autauga County,2,2,2,2,6296,10.7,2199,16.1,1607,15.6,66444
01003,AL,Baldwin County,4,5,3,2,25526,10.8,8207,16.4,5762,15.2,65658
01005,AL,Barbour County,6,6,6,6,5089,23,1776,35.1,1276,33.8,38649
01007,AL,Bibb County,1,1,1,1,4204,20.6,1275,29,940,29,48454
01009,AL,Blount County,1,1,1,1,6992,12,2236,16.7,1599,15.9,56894
01011,AL,Bullock County,6,6,6,6,2764,32.1,903,41.7,690,43.2,32027
01013,AL,Butler County,6,6,6,6,4226,22.7,1441,34.2,1073,34.2,39442
01015,AL,Calhoun County,3,2,3,2,21630,19.2,6205,25.2,4485,24.7,48166
01017,AL,Chambers County,6,5,6,5,6699,19.7,2258,32.2,1654,31.8,45447
01019,AL,Cherokee County,8,6,6,6,4513,18.2,1235,26.6,882,25.1,46365
01021,AL,Chilton County,1,1,1,1,6973,15.5,2362,22.4,1621,20.6,55142
01023,AL,Choctaw County,9,10,9,10,2893,23.3,809,32.4,587,32.4,40601
01025,AL,Clarke County,7,11,7,11,4366,19.4,1419,29.2,1012,28.4,45447
01027,AL,Clay County,9,10,9,10,2560,18.4,792,27.6,576,26.9,47036
01029,AL,Cleburne County,8,4,8,4,2236,15,755,22.1,532,21.1,49769
01031,AL,Coffee County,6,5,4,5,8516,15.9,3087,24.2,1982,20.7,55052
01033,AL,Colbert County,3,2,3,2,9396,16.5,2841,23.6,1862,21,53341
01035,AL,Conecuh County,9,11,7,11,2528,22.4,762,33.9,555,33.7,35621
01037,AL,Coosa County,8,7,8,3,1754,17.1,499,29.9,362,29.3,45954
01039,AL,Covington County,7,9,6,6,7317,19.8,2304,28.3,1610,26.5,44188
01041,AL,Crenshaw County,8,6,8,6,2267,17.5,854,28.9,621,27.6,38037
01043,AL,Cullman County,6,3,4,3,11898,13.5,3432,17.5,2390,16.4,55036
01045,AL,Dale County,4,5,4,5,7587,15.7,2558,22.7,1708,21.2,50086
01047,AL,Dallas County,4,5,4,5,10914,29.5,3924,45.4,2843,43.7,33159
01049,AL,DeKalb County,6,6,6,6,13783,19.4,4981,29.3,3104,24,45062
01051,AL,Elmore County,2,2,2,2,10138,12,3347,17.3,2418,16.6,63147
01053,AL,Escambia County,6,6,6,6,8147,23.8,2445,29.9,1817,30.2,40506
01055,AL,Etowah County,3,2,3,2,17605,17.4,5464,25,3841,24,46308
01057,AL,Fayette County,6,6,6,6,3123,19.6,901,26.5,633,24.9,46122
01059,AL,Franklin County,6,6,6,6,5995,18.9,1968,25.1,1379,24.2,45440
01061,AL,Geneva County,3,2,3,2,5566,21.1,1672,29.1,1179,27.2,43206
01063,AL,Greene County,3,2,8,6,2520,33.2,848,51.8,595,49.1,30225
01065,AL,Hale County,3,2,3,2,3221,22.1,1128,32.6,807,31.9,41995
01067,AL,Henry County,3,2,3,2,2694,15.6,867,24.6,621,23.3,56389
