Index,State,Pop Over 1,Same house,Same State,Diff State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico,U.S. Island Area,Foreign Country
1,Alabama,"5,022,366","4,397,470","471,530","139,263",0,714,"1,202","1,536","8,012","3,329",868,694,85,"18,236","23,155","1,256",294,"4,328","1,693",363,"1,403","2,892","5,461",141,"1,517",599,"1,033",322,"5,736","1,421",150,102,188,855,"1,207",536,"3,827","3,320",712,"2,223",785,752,"3,330",158,"6,298",259,"11,634","10,102",577,194,"3,654","1,639",268,203,0,"14,103",311,611,"13,181"
2,Alaska,"724,196","614,091","68,351","36,563",151,0,"1,645",10,"3,855",665,15,72,14,"1,575",834,532,309,130,296,108,352,73,186,0,142,285,40,356,70,367,"1,160",0,256,62,40,287,"2,430","3,305",120,125,"1,993","1,409",160,0,393,113,872,"3,135","4,215",0,345,"3,076",0,943,42,"5,191",129,265,"4,797"
3,Arizona,"7,285,247","6,264,863","690,856","282,729",727,"2,091",0,"1,147","74,157","12,232",339,970,152,"4,471","3,046","1,236","2,628","10,623","3,759","3,228","1,240","2,143",734,647,"1,955","3,143","7,449","3,927",600,"7,362","4,455","1,972","8,890",314,"3,626","6,263","5,071","3,300","2,086","5,280","3,096","12,093","4,273",280,"2,398","2,850","4,357","17,404","10,597",182,"3,791","21,242",471,"6,569","1,863","46,799",608,840,"45,351"
4,Arkansas,"3,007,872","2,618,120","294,640","86,375","1,911",64,"1,776",0,"7,783","2,562",210,0,0,"7,065",497,74,"1,190","2,383","1,330",460,"1,184","2,581","4,994",74,"1,212",145,405,"1,171","3,380","3,905",238,270,630,62,113,"1,275",666,451,0,586,"5,995","1,809",267,35,400,0,"4,970","17,105",470,146,978,"2,703",43,481,326,"8,737",18,0,"8,719"
5,California,"38,629,179","34,335,186","3,515,077","475,803","5,204","2,040","27,412",963,0,"19,970","4,977","1,818","4,443","28,557","11,002","10,747","5,567","24,559","5,422","2,187","3,387","3,471","3,954",939,"7,903","15,540","11,714","5,143",880,"6,369","2,432","3,047","22,183",624,"13,162","2,585","31,255","13,302",291,"10,031","2,576","23,792","13,544","1,755","5,581",572,"5,498","42,279","13,149","1,206","15,373","31,866",42,"4,407","1,083","303,113","1,804","3,158","298,151"
6,Colorado,"5,781,381","4,834,425","682,450","229,876",700,"1,961","7,386","2,557","33,213",0,653,64,"2,679","11,107","3,360","1,070","4,345","9,281","2,455","2,212","3,363","1,413","1,520",455,"3,033","3,976","3,711","4,690","2,175","6,137",924,"3,759","2,134",975,"3,928","3,844","8,526","6,165",752,"4,941","4,516","5,785","4,557","1,023","1,912","2,244","5,702","25,466","4,877","1,316","6,727","6,796",918,"4,080","4,493","34,630",467,673,"33,490"
7,Connecticut,"3,588,965","3,172,833","245,100","145,315","1,005",97,"1,267",625,"7,097","1,992",0,51,"1,607","7,476","3,478",189,507,"3,290",674,167,0,563,75,"1,137","2,460","21,256","3,100",894,304,"1,012",40,78,"1,073",708,"8,087",60,"50,670","3,897",0,595,"1,730",160,"2,298","3,977",701,0,507,"2,920",347,"1,414","3,481","1,670",0,579,0,"25,717",714,0,"25,003"
8,Delaware,"1,008,173","899,454","57,963","46,162",203,0,949,0,660,123,198,0,202,"1,339",293,82,0,"1,256",153,0,77,58,0,352,"9,709",384,462,18,0,768,0,0,437,0,"5,312",159,"4,603","2,250",0,182,0,0,"11,392",0,"1,254",178,241,692,0,0,"1,990",171,0,15,0,"4,594",150,0,"4,444"
9,District of Columbia ,"660,942","515,345","68,363","64,506",419,0,712,21,"4,539","1,187","1,401",352,0,"2,932","2,289",41,230,"2,548",253,49,136,79,205,79,"13,093","1,401","1,337",817,23,440,0,55,97,304,"3,093",453,"5,647","1,519",0,"1,011",231,264,"2,493",679,773,137,614,"2,788",387,153,"7,496","1,216",96,417,0,"12,728",110,0,"12,618"
10,Florida,"22,043,900","19,029,143","2,008,758","738,969","14,734","1,418","11,901","3,204","50,701","20,980","13,620","3,118","2,830",0,"39,990","2,858","3,374","35,262","11,790","2,163","5,111","8,141","8,497","6,242","23,422","20,320","23,781","9,192","3,937","10,919","1,302","2,779","7,516","6,001","47,000","3,551","91,201","24,601",347,"27,257","2,965","5,221","35,384","3,816","14,825","2,714","20,651","38,207","4,551","1,575","32,932","11,804","4,817","10,167",280,"267,030","12,179","2,431","252,420"
11,Georgia,"10,791,161","9,348,359","1,054,380","327,795","21,031",210,"1,798",531,"25,960","5,419","2,526",585,"1,243","51,380",0,"2,642","1,051","11,096","4,937",530,"1,862","1,941","4,426",272,"6,706","3,299","5,816","1,825","1,986","4,341",966,712,"3,357",886,"8,295","1,029","16,535","23,175",218,"5,221","2,077","1,594","9,223",118,"18,328",297,"18,785","23,754","2,753",0,"14,204","8,761","1,635","2,177",282,"60,627",454,803,"59,370"
12,Hawaii,"1,425,611","1,251,057","106,642","56,209","1,611",773,"2,750",75,"10,562","2,750",597,246,74,"1,442","2,823",0,120,"1,133",229,40,254,820,782,270,"1,269",397,524,264,503,627,170,568,"1,460",110,383,429,982,"1,931",222,654,52,"1,734",903,0,"1,488",0,956,"5,966","1,141",38,"1,775","4,090",0,222,0,"11,703",36,63,"11,604"
13,Idaho,"1,919,357","1,633,120","189,164","87,949",0,411,"3,633",299,"26,887","1,655",322,0,0,"1,109","1,548","1,046",0,314,6,218,"1,482",0,120,44,"1,426",577,523,"1,315",0,501,"1,250","1,066","1,894",61,173,376,880,815,429,224,232,"8,410",267,0,"1,392",126,191,"2,868","7,812",0,415,"14,387",0,369,876,"9,124",63,115,"8,946"
14,Illinois,"12,455,441","11,002,931","1,150,055","228,308","2,389",434,"5,377","1,468","20,573","6,720",474,218,"1,028","14,078","7,424",785,839,0,"13,792","8,532","2,072","4,087","1,823",304,"2,260","5,625","12,283","3,743",853,"15,923",242,"1,580","1,135",120,"3,576",827,"12,072","5,384",630,"11,296","1,353","1,706","4,475",91,"1,706",46,"7,420","19,949",349,98,"3,866","3,965",105,"12,764",449,"74,147",362,141,"73,644"
15,Indiana,"6,757,160","5,886,762","691,986","149,331",792,"1,118","4,953","2,888","7,769","3,586",687,25,716,"7,474","2,326","1,133","1,994","31,015",0,"1,364",823,"9,350","1,328",135,"1,739","1,308","13,184","1,742",116,"1,907",401,446,"2,049",554,"1,907",825,"4,124","2,157",299,"10,634",521,"1,461","2,209","1,177","1,206",0,"3,062","8,276","1,655",0,"2,315","2,282",147,"2,010",142,"29,081",366,82,"28,633"
16,Iowa,"3,166,734","2,760,076","323,444","72,231",180,118,"2,264",580,"2,349","1,932",4,0,178,"3,546",289,"1,154",519,"16,504",402,0,780,356,"1,095",69,653,3,"1,932","5,386",408,"3,657",199,"6,777","1,033",49,795,232,381,804,320,727,915,181,923,121,610,"2,376",355,"3,856","1,250",32,291,786,0,"4,734",126,"10,983",308,0,"10,675"
17,Kansas,"2,906,619","2,480,630","320,201","94,208","1,371",218,"1,519","1,016","5,520","7,359",0,49,57,"4,694","3,284",487,121,"2,766","2,828","2,134",0,811,"1,730",0,192,803,936,"1,606",0,"20,905",47,"3,021",971,0,108,477,"1,865",655,29,"1,834","6,466",617,373,0,18,194,"2,019","7,767","1,366",79,851,"3,475",0,290,"1,280","11,580",780,283,"10,517"
18,Kentucky,"4,462,146","3,892,713","439,944","113,197","1,218",182,"2,618",343,"5,985","2,182",863,0,156,"8,062","4,941",462,787,"6,821","12,947",497,435,0,397,202,903,904,"2,458",192,478,"2,688",154,412,509,152,36,287,"2,200","3,392",0,"12,646",211,801,"1,348",453,"3,322",0,"12,561","7,630","1,203",23,"2,314","3,235","2,679",831,77,"16,292",127,57,"16,108"
19,Louisiana,"4,537,185","4,006,126","435,538","75,330","1,332",432,315,"2,429","4,847","3,329",698,0,343,"5,089","3,215",0,277,"1,223",266,108,159,685,0,83,912,211,"2,062",719,"3,858","1,633",0,238,764,0,"2,288",191,"2,946","1,272",111,"3,427","2,717",421,597,205,"1,814",0,"1,286","17,663",903,29,"1,824","2,021",45,343,0,"20,191",119,0,"20,072"
20,Maine,"1,372,172","1,230,229","95,823","41,618",274,11,138,27,"3,552","1,332","1,243",0,220,"2,911",358,405,0,517,9,6,77,85,139,0,114,"8,663",311,410,90,420,475,285,324,"5,733",759,87,"2,885",675,0,403,0,0,"1,711","1,134",295,159,520,861,0,985,"1,198","1,514",41,262,0,"4,502",0,0,"4,502"
