,State,Year,Population
0,AK,1950,135000
1,AK,1951,158000
2,AK,1952,189000
3,AK,1953,205000
4,AK,1954,215000
5,AK,1955,222000
6,AK,1956,224000
7,AK,1957,231000
8,AK,1958,224000
9,AK,1959,224000
10,AK,1960,229000
11,AK,1961,238000
12,AK,1962,246000
13,AK,1963,256000
14,AK,1964,263000
15,AK,1965,271000
16,AK,1966,271000
17,AK,1967,278000
18,AK,1968,285000
19,AK,1969,296000
20,AK,1970,302583
21,AK,1971,315510
22,AK,1972,324464
23,AK,1973,330543
24,AK,1974,341063
25,AK,1975,376170
26,AK,1976,400969
27,AK,1977,403436
28,AK,1978,404766
29,AK,1979,402753
30,AK,1980,405315
31,AK,1981,418491
32,AK,1982,449606
33,AK,1983,488417
34,AK,1984,513702
35,AK,1985,532495
36,AK,1986,544268
37,AK,1987,539309
38,AK,1988,541983
39,AK,1989,547159
40,AK,1990,553120
41,AK,1991,569273
42,AK,1992,587073
43,AK,1993,596993
44,AK,1994,600624
45,AK,1995,601345
46,AK,1996,604918
47,AK,1997,608846
48,AK,1998,615205
49,AK,1999,619500
50,AK,2000,627963
51,AK,2001,633714
52,AK,2002,642337
53,AK,2003,648414
54,AK,2004,659286
55,AK,2005,666946
56,AK,2006,675302
57,AK,2007,680300
58,AK,2008,687455
59,AK,2009,698895
60,AK,2010,713982
61,AK,2011,722349
62,AK,2012,730810
63,AK,2013,737626
64,AK,2014,737075
65,AK,2015,738430
66,AK,2016,742575
67,AK,2017,740983
68,AK,2018,736624
69,AK,2019,733603
70,AK,2020,732964
71,AK,2021,734923
72,AK,2022,733276
73,AK,2023,733406
74,AL,1900,1830000
75,AL,1901,1907000
76,AL,1902,1935000
77,AL,1903,1957000
78,AL,1904,1978000
79,AL,1905,2012000
80,AL,1906,2045000
81,AL,1907,2058000
82,AL,1908,2070000
83,AL,1909,2108000
84,AL,1910,2150000
85,AL,1911,2185000
86,AL,1912,2217000
87,AL,1913,2279000
88,AL,1914,2336000
89,AL,1915,2345000
90,AL,1916,2359000
91,AL,1917,2361000
92,AL,1918,2343000
93,AL,1919,2337000
94,AL,1920,2359000
95,AL,1921,2402000
96,AL,1922,2434000
97,AL,1923,2464000
98,AL,1924,2501000
99,AL,1925,2534000
100,AL,1926,2567000
101,AL,1927,2609000
102,AL,1928,2640000
103,AL,1929,2644000
104,AL,1930,2647000
105,AL,1931,2649000
106,AL,1932,2653000
107,AL,1933,2661000
108,AL,1934,2685000
109,AL,1935,2719000
110,AL,1936,2743000
111,AL,1937,2762000
112,AL,1938,2787000
113,AL,1939,2814000
114,AL,1940,2845000
115,AL,1941,2902000
116,AL,1942,2941000
117,AL,1943,2902000
118,AL,1944,2802000
119,AL,1945,2775000
120,AL,1946,2911000
121,AL,1947,2942000
122,AL,1948,2969000
123,AL,1949,3000000
124,AL,1950,3058000
125,AL,1951,3059000
126,AL,1952,3068000
127,AL,1953,3053000
128,AL,1954,3014000
129,AL,1955,3050000
130,AL,1956,3071000
131,AL,1957,3109000
132,AL,1958,3163000
133,AL,1959,3204000
134,AL,1960,3274000
135,AL,1961,3316000
136,AL,1962,3323000
137,AL,1963,3358000
138,AL,1964,3395000
139,AL,1965,3443000
140,AL,1966,3464000
141,AL,1967,3458000
142,AL,1968,3446000
143,AL,1969,3440000
144,AL,1970,3444354
145,AL,1971,3497076
